6,471.077021288719,0,0,0,1,0,1,485.289553448703,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,276.159771517643,0,0,0,0,0,0,0,0,0,0,0,0
10,93.1327344889312,0,0,0,1,0,1,121.407777878607,0,0,0,0,0,0,0,0,0,0,0,0
13,13.2456541568696,0,0,0,1,0,1,90.1028897307893,0,0,0,0,0,0,0,0,0,0,0,0
14,10.3330692447569,0,0,0,1,0,1,30.6953885162619,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,153.876236330581,0,0,0,0,0,0,0,0,0,0,0,0
16,381.128438052069,0,0,0,1,0,1,381.128438052069,0,0,0,0,0,0,0,0,0,0,0,0
17,101.357742188111,0,0,0,1,0,1,150.044411326567,0,0,0,0,0,0,0,0,0,0,0,0
19,365.960699727805,0,0,0,1,0,1,365.960699727805,0,0,0,0,0,0,0,0,0,0,0,0
25,123.992700683104,0,0,0,1,0,1,130.889142249666,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,1,0,0,180.646811447537,0,0,0,0,0,0,0,0,0,0,0,0
